Territorio;Coeficiente Gini;Año
Thailand;0.394;2010
Uruguay;0.386;2015
Trinidad and Tobago;0.403;1992
Taiwan;0.327;2000
Ireland;0.298;2011
Slovakia;0.2612;2012
Kenia;0.477;2005
Nigeria;0.488;2010
Belguim;0.2759;2012
Switzerland;0.287;2012
Belarus;0.2601;2011
Congo;0.444;2006
Haiti;0.595;2001
Ecuador;0.493;2010
Malta;0.2909;2012
Hong Kong;0.434;1996
Bosnia and Herzegovina;0.363;2007
Namibia;0.639;2004
Fiyi;0.428;2009
China;0.614;2010
Guyana;0.432;1998
Argelia;0.353;1995
Colombia;0.535;2012
Armenia;0.313;2010
El Salvador;0.483;2009
Chad;0.398;2003
Hungary;0.2855;2012
Gambia;0.473;2003
Turkey;0.448;2006
Greece;0.343;2012
Pakistan;0.3;2008
Uzbekistan;0.367;2003
Jordan;0.354;2010
Euro zone;0.305;2012
Mexico;0.472;2010
Iran;0.383;2005
East Timor;0.319;2007
Albania;0.345;2008
Cambodia;0.36;2009
Falkland Islands;0.374;2004
Ghana;0.428;2006
Mali;0.33;2010
European Union;0.306;2012
Latvia;0.359;2012
Botswana;0.614;1994
Malaui;0.439;2010
Gabon;0.415;2005
Estonia;0.325;2012
Norway;0.259;2012
India;0.339;2010
Comoros;0.643;2004
Benin;0.386;2003
Yemen;0.377;2005
Argentina;0.412;2015
Togo;0.393;2011
Luxembourg;0.3479;2012
Cuba;0.38;2002
Puerto Rico;0.537;2010
Montenegro;0.286;2010
Germany;0.3013;2012
Poland;0.309;2012
Mozambique;0.457;2008
Liberia;0.526;2007
Papua New Guinea;0.509;1996
Iceland;0.2694;2012
Irak;0.309;2007
Russia;0.42;2012
Jamaica;0.455;2004
Ivory Coast;0.415;2008
South Korea;0.31;2006
Turkmenistan;0.408;1998
Sierra Leone;0.354;2011
Italy;0.3516;2012
Israel;0.392;2008
Tajikistan;0.308;2009
Romania;0.332;2012
France;0.331;2016
Serbia;0.296;2010
Seychelles;0.658;2007
Laos;0.367;2008
USA;0.469;2010
Panama;0.519;2010
Paraguay;0.524;2010
Qatar;0.411;2007
Zambia;0.575;2010
Venezuela;0.39;2011
Slovenia;0.2529;2012
Peru;0.481;2010
Nepal;0.328;2010
Sudan;0.353;2009
Malaysia;0.462;2009
Rwanda;0.508;2011
New Zealand;0.362;1997
Macedonia;0.436;2010
Netherlands;0.2799;2012
Swaziland;0.515;2010
Niger;0.34;2007
Guatemala;0.559;2006
Canada;0.321;2005
Burkina Faso;0.398;2009
Kazakhstan;0.29;2009
Uganda;0.443;2009
Croatia;0.305;2012
Cape Verde;0.504;2001
Australia;0.305;2006
Palestine;0.355;2009
Egypt;0.308;2008
Brazil;0.547;2009
United Kingdom;0.33;2012
Denmark;0.2908;2012
Georgia;0.421;2010
Angola;0.427;2009
Tunisia;0.361;2010
Czech Republic;0.2613;2012
Indonesia;0.381;2011
Congo;0.473;2005
Ukraine;0.2455;2010
Sweden;0.2732;2012
Azerbaijan;0.337;2012
Nicaragua;0.34;2011
Tanzania;0.376;2007
Philippines;0.43;2009
Finland;0.2712;2013
Suriname;0.613;2010
Mongolia;0.366;2008
Central African Republic;0.563;2008
Moldova;0.33;2010
Honduras;0.58;2011
Afghanistan;??;2008
Djibouti;0.399;2002
Austria;0.2911;2012
Chile;0.495;2015
Cyprus;0.31;2012
Vietnam;0.378;2008
Spain;0.35;2012
Kyrgyzstan;0.334;2011
Sri Lanka;0.364;2010
Cameroon;0.389;2007
Lesotho;0.525;2003
Singapore;0.473;2011
Zimbabwe;0.501;2006
Costa Rica;0.507;2009
Lithuania;0.32;2012
Guinea-Bissau;0.364;2012
Japan;0.376;2008
Ethiopia;0.336;2011
Senegal;0.403;2011
Guinea;0.394;2007
Bulgaria;0.336;2012
South Africa;0.631;2009
São Tomé and Príncipe;0.506;2001
Burundi;0.333;2006
Bolivia;0.563;2008
Portugal;0.3604;2012
Madagascar;0.441;2010
Bahrain;0.39;2006
Dominican Republic;0.463;2014
Bhutan;0.387;2012
Morocco;0.409;2007
Bangladesh;0.321;2010
South Sudan;0.455;2009
Mauritania;0.405;2008
